date,value,classification
01-10-22,20,Extreme Fear
02-10-22,24,Extreme Fear
03-10-22,24,Extreme Fear
04-10-22,20,Extreme Fear
05-10-22,25,Extreme Fear
06-10-22,26,Fear
07-10-22,23,Extreme Fear
08-10-22,24,Extreme Fear
09-10-22,22,Extreme Fear
10-10-22,22,Extreme Fear
11-10-22,24,Extreme Fear
12-10-22,20,Extreme Fear
13-10-22,20,Extreme Fear
14-10-22,24,Extreme Fear
15-10-22,24,Extreme Fear
16-10-22,24,Extreme Fear
17-10-22,20,Extreme Fear
18-10-22,22,Extreme Fear
19-10-22,23,Extreme Fear
20-10-22,23,Extreme Fear
21-10-22,23,Extreme Fear
22-10-22,20,Extreme Fear
23-10-22,23,Extreme Fear
24-10-22,22,Extreme Fear
25-10-22,20,Extreme Fear
26-10-22,33,Fear
27-10-22,32,Fear
28-10-22,30,Fear
29-10-22,34,Fear
30-10-22,34,Fear
31-10-22,31,Fear
01-11-22,30,Fear
02-11-22,30,Fear
03-11-22,30,Fear
04-11-22,30,Fear
05-11-22,38,Fear
06-11-22,40,Fear
07-11-22,33,Fear
08-11-22,31,Fear
09-11-22,29,Fear
10-11-22,22,Extreme Fear
11-11-22,25,Extreme Fear
12-11-22,21,Extreme Fear
13-11-22,22,Extreme Fear
14-11-22,24,Extreme Fear
15-11-22,22,Extreme Fear
16-11-22,23,Extreme Fear
17-11-22,20,Extreme Fear
18-11-22,23,Extreme Fear
19-11-22,23,Extreme Fear
20-11-22,24,Extreme Fear
21-11-22,21,Extreme Fear
22-11-22,22,Extreme Fear
23-11-22,22,Extreme Fear
24-11-22,20,Extreme Fear
25-11-22,20,Extreme Fear
26-11-22,22,Extreme Fear
27-11-22,26,Fear
28-11-22,28,Fear
29-11-22,26,Fear
30-11-22,29,Fear
01-12-22,27,Fear
02-12-22,27,Fear
03-12-22,27,Fear
04-12-22,26,Fear
05-12-22,26,Fear
06-12-22,25,Extreme Fear
07-12-22,29,Fear
08-12-22,25,Extreme Fear
09-12-22,26,Fear
10-12-22,27,Fear
11-12-22,26,Fear
12-12-22,27,Fear
13-12-22,27,Fear
14-12-22,30,Fear
15-12-22,31,Fear
16-12-22,29,Fear
17-12-22,28,Fear
18-12-22,26,Fear
19-12-22,29,Fear
20-12-22,29,Fear
21-12-22,26,Fear
22-12-22,28,Fear
23-12-22,27,Fear
24-12-22,29,Fear
25-12-22,29,Fear
26-12-22,28,Fear
27-12-22,27,Fear
28-12-22,28,Fear
29-12-22,28,Fear
30-12-22,28,Fear
31-12-22,25,Extreme Fear
01-01-23,26,Fear
02-01-23,27,Fear
03-01-23,26,Fear
04-01-23,29,Fear
05-01-23,29,Fear
06-01-23,26,Fear
07-01-23,25,Extreme Fear
08-01-23,25,Extreme Fear
09-01-23,25,Extreme Fear
10-01-23,26,Fear
11-01-23,26,Fear
12-01-23,30,Fear
13-01-23,31,Fear
14-01-23,46,Fear
15-01-23,52,Neutral
16-01-23,45,Fear
17-01-23,51,Neutral
18-01-23,52,Neutral
19-01-23,45,Fear
20-01-23,51,Neutral
21-01-23,53,Neutral
22-01-23,53,Neutral
23-01-23,50,Neutral
24-01-23,52,Neutral
25-01-23,51,Neutral
26-01-23,54,Neutral
27-01-23,55,Greed
28-01-23,52,Neutral
29-01-23,55,Greed
30-01-23,61,Greed
31-01-23,51,Neutral
01-02-23,56,Greed
02-02-23,60,Greed
03-02-23,60,Greed
04-02-23,58,Greed
05-02-23,58,Greed
06-02-23,56,Greed
07-02-23,54,Neutral
08-02-23,58,Greed
09-02-23,55,Greed
10-02-23,48,Neutral
11-02-23,49,Neutral
12-02-23,50,Neutral
13-02-23,48,Neutral
14-02-23,50,Neutral
