date,sol_close_price (SOL-USD),sol_rewards_yield_index_(STYSOL),fear_greed_index
24-08-23,21.0330,7.8616,41
25-08-23,20.3930,8.0039,39
26-08-23,20.2800,8.0497,38
27-08-23,20.7870,8.0199,38
28-08-23,20.5570,8.0000,39
29-08-23,21.7810,7.9779,39
30-08-23,20.8350,7.9485,49
31-08-23,19.7350,7.9549,52
01-09-23,19.3280,7.9755,40
02-09-23,19.4940,7.9803,39
03-09-23,19.5790,8.0500,40
04-09-23,19.4990,8.0500,40
05-09-23,20.2720,7.9740,40
06-09-23,19.6200,7.9670,42
07-09-23,19.8910,7.9651,41
08-09-23,19.5990,7.9645,46
09-09-23,19.4460,7.9626,41
10-09-23,18.2490,7.9613,40
11-09-23,17.7390,7.9211,40
12-09-23,17.9300,7.8615,30
13-09-23,18.4030,7.8581,41
14-09-23,18.8380,7.8448,45
15-09-23,19.1690,7.8449,45
16-09-23,19.1400,7.9747,43
17-09-23,18.8320,7.9747,46
18-09-23,19.6570,7.8652,46
19-09-23,20.0360,7.8432,46
20-09-23,20.3050,7.8394,47
21-09-23,19.4790,7.8375,47
22-09-23,19.4380,7.8679,43
23-09-23,19.4740,7.9057,47
24-09-23,19.3740,7.9118,44
25-09-23,19.4040,7.9267,47
26-09-23,19.0230,7.9288,46
27-09-23,19.1300,7.9428,44
28-09-23,19.9580,7.9425,46
29-09-23,20.3010,7.9606,48
30-09-23,21.3950,7.9606,47
01-10-23,23.8370,7.9459,48
02-10-23,23.3720,7.9440,50
03-10-23,23.5530,7.8825,50
04-10-23,23.1450,7.8603,49
05-10-23,22.6940,8.2345,48
06-10-23,23.4250,8.5169,50
07-10-23,23.2870,8.5548,49
08-10-23,23.2460,8.5952,50
09-10-23,22.1180,8.5482,50
10-10-23,22.1050,8.4935,50
11-10-23,22.0070,8.4570,47
12-10-23,21.3000,8.4032,45
13-10-23,21.8350,8.3707,44
14-10-23,22.0120,8.3086,47
15-10-23,21.9220,8.2680,45
16-10-23,23.9830,8.1719,47
17-10-23,23.9590,8.1761,52
18-10-23,23.4320,8.1895,50
19-10-23,24.9380,8.1856,52
20-10-23,27.0340,8.1739,53
21-10-23,29.3860,8.1625,63
22-10-23,29.0370,8.0833,53
23-10-23,31.8510,8.0755,53
24-10-23,30.1520,7.8264,66
25-10-23,32.4630,7.8264,72
26-10-23,32.7760,7.8006,71
27-10-23,31.7400,7.7973,70
28-10-23,31.6530,8.0821,65
29-10-23,32.8230,8.1761,72
30-10-23,34.9620,8.0254,68
31-10-23,38.5200,7.9756,66
01-11-23,41.4620,7.7665,66
02-11-23,40.2080,7.6640,72
03-11-23,39.5200,7.8070,65
04-11-23,42.3470,7.9466,68
05-11-23,41.2390,8.0019,70
06-11-23,42.1290,8.0865,74
07-11-23,43.0930,8.0653,68
